host_id,host_name,host_since,is_superhost,response_rate,created_at
1,Timothy Parker,2018-03-20,False,99,2025-12-26 14:15:54.011160
2,Hannah Evans,2024-01-01,False,95,2025-12-26 14:15:54.011160
3,Crystal Green,2016-08-06,False,74,2025-12-26 14:15:54.011160
4,Kevin Johnson,2020-02-25,False,100,2025-12-26 14:15:54.011160
5,Monica Johnson,2024-11-11,False,77,2025-12-26 14:15:54.011160
6,Nancy Turner,2016-11-03,False,96,2025-12-26 14:15:54.011160
7,Gerald Hunt,2022-01-21,True,99,2025-12-26 14:15:54.011160
8,James Lucero,2020-05-25,True,96,2025-12-26 14:15:54.011160
9,Antonio Reyes,2020-03-13,True,73,2025-12-26 14:15:54.011160
10,Daniel Wells,2017-02-09,True,72,2025-12-26 14:15:54.011160
11,Caleb Obrien,2017-11-09,True,72,2025-12-26 14:15:54.011160
12,Bryan Morris,2017-07-05,False,92,2025-12-26 14:15:54.011160
13,Michelle Johnson,2018-03-12,True,97,2025-12-26 14:15:54.011160
14,Robert Stevens,2018-08-07,True,82,2025-12-26 14:15:54.011160
15,Kenneth Roach,2016-06-28,True,93,2025-12-26 14:15:54.011160
16,Gregory Evans,2017-04-18,True,85,2025-12-26 14:15:54.011160
17,Bonnie Soto,2019-01-04,False,86,2025-12-26 14:15:54.011160
18,Rebekah Palmer,2024-06-29,False,74,2025-12-26 14:15:54.011160
19,Cindy Cortez,2021-11-02,False,81,2025-12-26 14:15:54.011160
20,Christopher Diaz,2022-11-17,False,98,2025-12-26 14:15:54.011160
21,Benjamin Ross,2017-04-06,False,86,2025-12-26 14:15:54.011160
22,Jared Ryan,2022-11-14,False,88,2025-12-26 14:15:54.011160
23,Marcus Fox PhD,2018-05-30,True,95,2025-12-26 14:15:54.011160
24,Jennifer Morgan,2017-06-09,False,95,2025-12-26 14:15:54.011160
25,Joseph Vazquez,2018-07-11,True,83,2025-12-26 14:15:54.011160
26,Matthew Miller,2020-12-06,True,85,2025-12-26 14:15:54.011160
27,Jesus Fleming,2024-09-18,True,100,2025-12-26 14:15:54.011160
28,Ashley Burgess,2021-12-23,False,88,2025-12-26 14:15:54.011160
29,Jacob Hunt,2020-07-07,False,91,2025-12-26 14:15:54.011160
30,Michelle Vega,2022-10-11,True,80,2025-12-26 14:15:54.011160
31,Diana Richardson,2016-08-07,False,82,2025-12-26 14:15:54.011160
32,Heidi Cervantes,2024-09-25,True,89,2025-12-26 14:15:54.011160
33,Meghan Horn,2020-09-20,True,71,2025-12-26 14:15:54.011160
34,Ashley Thornton,2016-06-26,True,96,2025-12-26 14:15:54.011160
35,John Kennedy,2024-01-04,True,84,2025-12-26 14:15:54.011160
36,Taylor Perkins,2016-08-03,False,84,2025-12-26 14:15:54.011160
37,Jeffrey Smith,2019-07-05,True,75,2025-12-26 14:15:54.011160
38,Robert Sanders,2017-03-16,True,92,2025-12-26 14:15:54.011160
39,Billy Harding,2019-08-18,True,86,2025-12-26 14:15:54.011160
40,Roberto Rush,2017-10-09,False,78,2025-12-26 14:15:54.011160
41,Kevin Montgomery,2023-03-16,False,70,2025-12-26 14:15:54.011160
42,David Shepard,2017-08-31,False,100,2025-12-26 14:15:54.011160
43,Monica Navarro,2020-12-19,False,100,2025-12-26 14:15:54.011160
44,Helen Tran,2018-04-26,True,79,2025-12-26 14:15:54.011160
45,Brian Lane,2022-01-20,False,93,2025-12-26 14:15:54.011160
46,Melissa Lucero,2016-01-31,False,84,2025-12-26 14:15:54.011160
47,Jeffrey Garcia,2017-12-02,True,72,2025-12-26 14:15:54.011160
48,Keith Anderson,2016-08-02,True,72,2025-12-26 14:15:54.011160
49,Ralph Gonzalez,2017-08-01,True,84,2025-12-26 14:15:54.011160
50,Roy Hopkins,2016-01-11,True,97,2025-12-26 14:15:54.011160
51,Emily Jimenez,2021-06-04,False,96,2025-12-26 14:15:54.011160
52,Mr. James Nelson,2021-07-31,True,98,2025-12-26 14:15:54.011160
53,Jennifer Ramirez,2024-04-24,False,81,2025-12-26 14:15:54.011160
54,Toni Mayo,2017-06-28,False,92,2025-12-26 14:15:54.011160
55,Taylor Smith,2016-10-04,False,94,2025-12-26 14:15:54.011160
56,Caleb Bryan,2019-10-17,True,88,2025-12-26 14:15:54.011160
57,Thomas Mcbride,2024-10-10,False,73,2025-12-26 14:15:54.011160
58,Jeremy Rogers,2017-04-29,False,71,2025-12-26 14:15:54.011160
59,Alex Payne,2019-03-09,False,86,2025-12-26 14:15:54.011160
60,Rachel Smith,2018-11-02,True,98,2025-12-26 14:15:54.011160
61,Dr. Kathy Miller MD,2019-03-26,True,97,2025-12-26 14:15:54.011160
62,Natalie Humphrey,2023-12-01,False,88,2025-12-26 14:15:54.011160
63,Jenny Reed,2018-08-29,False,79,2025-12-26 14:15:54.011160
64,Jeremy Short,2016-09-10,False,71,2025-12-26 14:15:54.011160
65,Cory Gordon,2016-11-27,False,100,2025-12-26 14:15:54.011160
66,Tara Kelley,2016-04-10,False,70,2025-12-26 14:15:54.011160
67,Jessica Kim,2019-07-11,False,70,2025-12-26 14:15:54.011160
68,Roy Merritt,2016-12-12,False,78,2025-12-26 14:15:54.011160
69,Stuart James,2019-06-29,False,71,2025-12-26 14:15:54.011160
70,Claudia Salas,2024-08-24,False,85,2025-12-26 14:15:54.011160
71,Jennifer Frank,2022-08-22,True,95,2025-12-26 14:15:54.011160
72,Ryan Graham,2020-05-04,True,76,2025-12-26 14:15:54.011160
73,Karen Taylor,2016-09-19,True,99,2025-12-26 14:15:54.011160
74,Jorge Morales,2024-09-01,False,84,2025-12-26 14:15:54.011160
75,Jason Flores,2021-08-16,True,74,2025-12-26 14:15:54.011160
76,Karen Shah,2020-07-07,False,87,2025-12-26 14:15:54.011160
77,Charles Barrett,2021-09-12,False,70,2025-12-26 14:15:54.011160
78,Tina Henry,2023-07-07,True,82,2025-12-26 14:15:54.011160
79,Evan Luna,2022-06-02,False,87,2025-12-26 14:15:54.011160
80,Matthew Wall,2018-10-08,True,91,2025-12-26 14:15:54.011160
81,Jenny Bryant,2020-03-17,True,95,2025-12-26 14:15:54.011160
82,Vicki Ortiz,2017-11-16,False,95,2025-12-26 14:15:54.011160
83,Brian Griffin,2020-01-16,False,89,2025-12-26 14:15:54.011160
84,Ariana Lopez,2022-08-23,True,84,2025-12-26 14:15:54.011160
85,Brian Miranda,2016-10-25,True,96,2025-12-26 14:15:54.011160
86,Catherine Henry,2016-07-11,False,77,2025-12-26 14:15:54.011160
87,Julie Martinez,2016-11-08,False,82,2025-12-26 14:15:54.011160
88,Lance Munoz,2024-11-17,True,76,2025-12-26 14:15:54.011160
89,Brian Dean,2022-02-25,True,93,2025-12-26 14:15:54.011160
90,Kathy Bowman,2016-01-06,False,94,2025-12-26 14:15:54.011160
91,Wendy Singh,2018-12-18,False,70,2025-12-26 14:15:54.011160
92,Matthew Fitzpatrick,2019-02-02,False,73,2025-12-26 14:15:54.011160
93,William Stein,2016-01-19,False,98,2025-12-26 14:15:54.011160
94,Alicia Valenzuela,2023-11-07,True,70,2025-12-26 14:15:54.011160
95,Belinda Moreno,2021-11-07,True,84,2025-12-26 14:15:54.011160
96,Todd Hutchinson,2016-07-23,True,85,2025-12-26 14:15:54.011160
97,Jason Hoover,2023-05-25,False,78,2025-12-26 14:15:54.011160
98,Jesse Romero,2019-11-14,False,90,2025-12-26 14:15:54.011160
99,Joyce Wright,2020-02-26,True,93,2025-12-26 14:15:54.011160
100,Joel Dean,2021-09-03,False,89,2025-12-26 14:15:54.011160
101,Brandon Olson,2017-02-20,False,98,2025-12-26 14:15:54.011160
102,Sarah Zavala,2024-08-29,True,98,2025-12-26 14:15:54.011160
103,Tabitha Foster,2017-02-26,True,74,2025-12-26 14:15:54.011160
104,Christopher James,2018-05-31,False,90,2025-12-26 14:15:54.011160
105,Nicholas Torres,2024-12-06,False,94,2025-12-26 14:15:54.011160
106,Keith Rubio,2021-01-07,False,76,2025-12-26 14:15:54.011160
107,Emily Gardner,2020-06-24,True,97,2025-12-26 14:15:54.011160
108,Jacob Campbell,2016-05-07,False,88,2025-12-26 14:15:54.011160
109,Janet Morrow,2019-03-26,False,84,2025-12-26 14:15:54.011160
110,Nicole Compton,2018-05-05,False,73,2025-12-26 14:15:54.011160
111,Brandi Martinez,2023-04-30,False,77,2025-12-26 14:15:54.011160
112,Gregory Baker,2023-08-16,False,86,2025-12-26 14:15:54.011160
113,Randall Jennings,2016-01-31,False,92,2025-12-26 14:15:54.011160
114,Bethany Crawford,2020-06-12,False,97,2025-12-26 14:15:54.011160
115,Patricia Dean,2024-11-01,False,96,2025-12-26 14:15:54.011160
116,Kathleen Herrera,2024-12-09,True,80,2025-12-26 14:15:54.011160
